token_address,pairs
0x00000000e88649DD6AaB90088Ca25D772D4607d0,['0x91cC8585fD0e7243Bd21037014Ab9cB8BE11f1cC']
0x00000078C8c5B29A9422FdEF2f4d7fFb053ad0e3,['0xB7711A6Df487e3d0c94148813118eA9ba5798a0E']
0x000000A8F72f50c433f8771d6CF4c03d34dF6BDa,['0xceC1352768a73561ee488e06f700f2bb491B5dB6']
0x000000AE6028eAA3f32834f06b8bffFf9E78Dd28,['0x3B44Cd737fc91956d4bd12107b275a8E203b50fb']
0x000000ae5f1AF01dDAD56D933f7b38900614f914,['0x137Eb148f2D02F85146c906e583E3a9cEF088F56']
0x0000075aC7A0871Db0d09beFaDDFE186590701BE,['0x4ab83Bb41ea96059D527d0DA7DE998c47535CE7E']
0x00000D157C796D78F887529Dfc600FFc35deD0DE,['0x4262e6233064d088f067252daF027F1cb99cFc1F']
0x000066334Bc3c6e946A43553deD0b350eC09e761,['0x5166ec514c0345b43E4b578C62C2D2B9544F135f']
0x00069dd45d645992f2F0609B79f87a6080995474,['0xF330519D0d777eBe9cA456380C639ca6B5b55652']
0x000a3FafF2b8E411F37dA579Db334A28cb07F027,['0xb76c8a2ec66dca32455D7ea26a2A19a28EF109Fc']
0x000cd57D677E1217b5D1FA3C1a90dbB5e4a69585,['0x34D5A1Fe60e91e21df467cC26Aa484C5e6C56B57']
0x001009EbEE67f3e307C31088F2d74BD4AeBA0e9B,['0x827145a35f92b12AA5D67A3e80Cc759d1db768D8']
0x001358036EB6a5447f636789324b7cf14FC6D56d,['0x81ebAf765F139d90312cb16ddaF513d25e6560dA']
0x001DC1c7C636B0D9aA3B0e017601173B193442ED,['0xDc6927d9dF5f2B7cA782f2f4aefD7f42C78d8879']
0x001b0E3eA4431768A714105164E8e35890F7B28B,['0xD4dfEb3a39560920BB559442e393C88cA8B4a4CA']
0x0026CD67d8Ba0b66752e259DbE7B459b43b69641,['0x06Cff2b56355eAB6C2c1C87B3AAa90eedcBe385D']
0x004832C15899739D6f55e6B974869E29FFe61028,['0x53cA9e5b59E7C0F32c69B82e09CE04f4685ca68e']
0x007F7a6357b971C41c4F0b3bC871044D1Ec61762,['0x8ACf84C7681Dc34b83BFee1e1D7D7Ad699e26582']
0x007bF55cbc670f71C889aEEEeF4d00BaC3C8Fa46,['0xA71e6F4d94416AA3420Be47a1490423E2e4Fd940']
0x0081146dED2161cf856BeC5362C26CB67Cb77954,['0x46CD15185e8E1df4Ae5831efBb82CaDaa3827e2D']
0x00864b4c3F0236474e1885136A4aF43577b4033c,['0x2894DB81fB23D0F2Aad0cF40E0918ec03AC4321e']
0x0086850433C8a767cAaA1CAcfd502B10155befad,['0xa5025E601F0CeD1d05cf9142d1e1b5154Ce0F410']
0x00934595c46e86dC57A3b14ae742a42F567B1b96,['0x07adA679f627B7823E5A430Cdec7D02b3013ca99']
0x00B14C3cF3a8Af0f8C00537DAdD76477BAa2e1f1,['0x29d27D08904508CfcB9CDDBf04920b2BA4F4d815']
0x00C1818726CAeD57A4ae8E265a4d87FF99C8DfCB,['0x5E5758274b659dF0102c42F7bd85c0EE10753719']
0x00E1Cbb49De1E411c98179199ac7396D43CaB8E2,['0x604a995E0e16E54ad5D878Ae74ebeB784D05302A']
0x00b1B6fC90c11Bb7FbF0bbbD5e5d2A92e26d7A6e,['0x7E9c678804b230Ac2AbE078505429f6463e41413']
0x00f42834b9cda736c19B15b675F98B67F80bB714,['0x8Ea0aa69ca6bf24CAC0a10B41741370c73E30d73']
0x00f68aeB55670C6e65ffe5dA453EDFFf18FFa200,['0x0A22C55226ba828d76960cDE4bE35197ccCEAFaf']
0x010101Ef972cE2a8acAbc43C5Ce06d711Be73887,['0xe6d3Dbf501DbB2F1f4Af176dFF97C73ea52cF650']
0x01091A48D5F39Dad4316c11F74F5FB78c7BcB50F,['0xE16B0e46FcDc7CF5A763e53333e7a02a03cc650B']
0x0116ccD55d4Afde8bEbbae8FdC5C2454D96eb802,['0x85832cf9C4aa5181b08BD98B9909E8Fa450715A0']
0x011A6f5c17012cf005D36824a8e3f498eC100829,['0x14e978D26Bb42cE9Cc690AC30f894F174F3334bd']
0x011b36d50149cEa3A2d06fC99887ed2C4d0863df,['0xA66b67319EbF6c6C470aA024565E731272eC9fd8']
0x013489475C0c4933896ACe182E0B5aC5ceC23547,['0x9a9516d6E15deb6705aaad96837059A81cD9C6Ba']
0x014A4F7723ccD17462d4CD963684D7e6E98ec21F,['0x892784A28278FFe5DaB486Fd4C5A1bF96Ae54bd7']
0x014f74e5fE720471fC9645693Df7F0ba20E717eE,['0xE215eD99242dEBEa01041C90147eAF9E497910c4']
0x015D59fF4cBe96b59e3eB8f82906298b2Bc91519,['0xc7da498Fbb966Aba96C216ea5e3D7d5a954e1d4d']
0x015acF6a0B326E1f30305FBa924Fa58432269D82,['0x140375456805527097276b176E194F20B6A32691']
0x016067E7bb05C3c9823b361c3E34Dde93C0EF574,['0x526cE4f679f4549370e3b6EF550C2898b36aDBA4']
0x0183BcaF33B24687c4b43b9cC95C9f76c9e7f948,['0xE1b462BaE9427bca7885D4ff657c2dE7745af327']
0x01974192C2cB21E794a781a70aD866F83A70B3Fe,['0xcE9af8Fb1178435d75C4d3D06F461553b796f3Cb']
0x01B5920010b98d1e3B360e936CD0F289290c451A,['0xc2C0bACf0050169b43c48e694Eba9A46c17AA2F2']
0x01Bf498938De2c78767487C9ef55cBD5a66f7795,['0xF8beAf7F8b0A839Eb53C1795E77A030682EBee92']
0x01aa875fc5A42A90d47E7484167DBB6Bf0fC6E2e,['0x836DC68295c8301E1683bdd942F9905F8EfDd951']
0x01b452CC39177dA2E984B84f4B11CEC20Bbb0083,['0x2869AE55110685414bAd4a93e97610D88c7c9215']
0x01d1AaBb022bb179BC7755457359124E0C083ea5,['0x2192E32cc7bD71EDcb7A0d76e10673FEfcF1c457']
0x01dA55226E7d5e21f325E5b5766F5ABEd8d9347f,['0xd71b4eC061880108fB8EC2d2B15120c5E802429b']
0x01dEEa1B79B4856640912a136D31656898fB24D2,['0x7df713652aD4F9Bb624e612371f03752Fe6a6c35']
0x0211CCED2d8d5e1e0db857BeD4098F1D7C64aE29,['0x0eE817569AF879c8d74D54DA4ADF30443b8a953F']
